Frame,Object,X,Y
2,0,205.48306274414062,367.2140350341797
3,0,205.36538696289062,370.10101318359375
4,0,207.8707275390625,368.5182647705078
5,0,207.92733764648438,370.0678253173828
6,0,208.69627380371094,369.69435119628906
7,0,208.83970642089844,367.09124755859375
8,0,207.89324951171875,366.963623046875
9,0,207.47512817382812,364.3650360107422
10,0,208.38494873046875,362.5845642089844
11,0,208.80307006835938,362.9369812011719
12,0,208.81414794921875,363.5745086669922
13,0,210.91439819335938,370.60707092285156
14,0,210.1177520751953,369.7313537597656
15,0,209.063232421875,366.6298065185547
16,0,209.53958129882812,366.86907958984375
17,0,209.81761169433594,363.233642578125
18,0,209.9086151123047,362.465087890625
19,0,209.7748260498047,363.0919494628906
20,0,207.78817749023438,365.3966827392578
21,0,209.9793243408203,361.140869140625
22,0,210.40696716308594,360.9099578857422
23,0,210.31707763671875,360.0
24,0,207.98794555664062,362.3926086425781
25,0,208.47842407226562,363.0553436279297
26,0,208.95654296875,360.7849884033203
27,0,209.0498046875,362.0282440185547
28,0,208.95849609375,362.17481994628906
29,0,209.44667053222656,367.5533447265625
30,0,210.18380737304688,361.1645965576172
31,0,210.4169921875,363.2807312011719
32,0,209.3946533203125,365.62416076660156
33,0,210.24180603027344,364.4864196777344
34,0,209.9134521484375,363.7168731689453
35,0,210.46920776367188,366.856689453125
36,0,209.99905395507812,367.792724609375
37,0,210.3690185546875,364.8280334472656
38,0,211.76577758789062,365.6540985107422
39,0,212.2108154296875,367.9834289550781
40,0,212.19740295410156,364.2223205566406
41,0,215.50946044921875,372.3011016845703
43,0,215.8494873046875,368.94590759277344
45,0,220.49942016601562,366.0163116455078
46,0,224.72193908691406,367.1073303222656
47,0,225.6103057861328,361.83258056640625
48,0,227.32333374023438,364.55186462402344
49,0,232.83070373535156,365.1231231689453
50,0,238.44094848632812,370.3944549560547
51,0,242.02783203125,370.62782287597656
52,0,242.030029296875,371.76661682128906
53,0,239.89871215820312,377.6883087158203
54,0,239.67691040039062,380.0502624511719
55,0,234.1845703125,371.8251953125
56,0,230.11753845214844,363.83412170410156
57,0,230.92489624023438,369.8891143798828
58,0,233.29510498046875,367.2869567871094
59,0,240.5584716796875,364.5090026855469
60,0,237.21014404296875,366.136962890625
61,0,232.94546508789062,363.2245330810547
62,0,223.62672424316406,370.11647033691406
63,0,220.25003051757812,378.0338897705078
65,0,223.64675903320312,372.9930725097656
68,0,221.3449249267578,371.3643341064453
69,0,220.32911682128906,369.01727294921875
70,0,220.15536499023438,367.58592224121094
71,0,218.61538696289062,363.8759460449219
72,0,217.91232299804688,366.2445526123047
73,0,218.55899047851562,360.51312255859375
74,0,220.091552734375,360.3628845214844
75,0,220.4228057861328,361.0895690917969
76,0,220.18299865722656,363.3533630371094
77,0,220.63626098632812,362.7338409423828
78,0,221.46426391601562,362.28895568847656
79,0,222.66146850585938,365.05259704589844
80,0,225.94204711914062,362.01385498046875
81,0,227.06884765625,370.82948303222656
82,0,227.45037841796875,369.0124206542969
83,0,227.61175537109375,368.24456787109375
84,0,226.70907592773438,366.7353820800781
85,0,227.38116455078125,365.5401153564453
86,0,226.8466796875,369.2977600097656
87,0,225.04403686523438,363.35540771484375
88,0,227.97128295898438,363.80445861816406
89,0,227.70384216308594,364.40264892578125
90,0,227.05027770996094,362.3498229980469
91,0,226.54086303710938,360.1928405761719
92,0,222.93626403808594,367.08154296875
93,0,226.1248779296875,366.38262939453125
94,0,225.7421875,364.1922149658203
95,0,222.28152465820312,361.4921875
96,0,223.3372344970703,360.9823913574219
97,0,225.883056640625,363.381591796875
98,0,225.50845336914062,365.111083984375
99,0,221.85365295410156,362.409423828125
100,0,224.09414672851562,365.06964111328125
101,0,226.80148315429688,369.5145568847656
102,0,224.377197265625,371.0789794921875
103,0,225.7308349609375,364.7598114013672
104,0,223.33511352539062,362.51783752441406
105,0,225.96229553222656,363.8289337158203
106,0,225.79095458984375,367.12184143066406
107,0,225.88836669921875,366.7853698730469
110,0,227.6529541015625,362.66163635253906
111,0,224.89581298828125,365.9005584716797
112,0,229.04718017578125,364.0674133300781
113,0,233.63790893554688,365.45994567871094
114,0,235.31100463867188,365.10240173339844
115,0,234.04946899414062,365.7602996826172
116,0,233.50274658203125,365.5007781982422
129,0,215.8013153076172,381.0656433105469
130,0,201.51185607910156,374.6922149658203
131,0,196.61013793945312,365.8001708984375
132,0,195.75811767578125,367.7821044921875
133,0,193.27474975585938,376.4047088623047
134,0,201.61932373046875,383.2914581298828
135,0,194.00547790527344,381.6870574951172
136,0,194.3979034423828,375.5396423339844
137,0,196.3328857421875,374.7563171386719
138,0,195.25733947753906,378.4369201660156
139,0,193.11880493164062,381.8345642089844
140,0,194.76754760742188,386.5006561279297
141,0,196.15940856933594,391.1954650878906
142,0,196.0490264892578,390.202880859375
143,0,194.64024353027344,384.71424865722656
144,0,205.27407836914062,380.0458526611328
145,0,214.8605499267578,372.8000793457031
146,0,214.861083984375,380.39097595214844
147,0,223.4951934814453,382.0872497558594
148,0,216.135009765625,375.6963348388672
150,0,220.19692993164062,374.4315948486328
152,0,233.18515014648438,370.43743896484375
160,0,242.82815551757812,371.29200744628906
161,0,242.87176513671875,373.7279968261719
168,0,264.70335388183594,468.78382110595703
170,0,289.262451171875,360.0
171,0,282.5548095703125,356.2872314453125
174,0,312.77032470703125,348.1827392578125
175,0,343.3344421386719,360.0
177,0,145.70321655273438,520.1741943359375
178,0,143.938232421875,518.6344757080078
179,0,143.4464569091797,518.9685668945312
180,0,144.03778076171875,519.0568237304688
181,0,143.32089233398438,519.0887908935547
182,0,143.06039428710938,517.7630004882812
183,0,142.95684814453125,518.7769775390625
184,0,142.50340270996094,518.6710205078125
185,0,142.640869140625,517.8213500976562
186,0,142.9641571044922,518.9345550537109
187,0,143.19821166992188,518.958740234375
188,0,143.31192016601562,519.008056640625
189,0,142.9638671875,518.7444610595703
190,0,145.15447998046875,519.150634765625
191,0,148.82040405273438,519.5887908935547
192,0,146.9334716796875,519.3931884765625
197,0,194.33434295654297,516.8569793701172
198,0,182.735107421875,512.9822540283203
199,0,153.5454559326172,519.1467132568359
200,0,143.12274169921875,519.0618286132812
201,0,145.12591552734375,518.4687957763672
202,0,145.51016235351562,519.5418090820312
203,0,143.61875915527344,517.0579376220703
204,0,144.1654052734375,515.8946533203125
205,0,144.95199584960938,517.8980102539062
206,0,143.7285919189453,517.7640991210938
207,0,143.41329956054688,516.7716064453125
208,0,143.78048706054688,517.8887939453125
209,0,143.5224609375,518.404296875
210,0,144.6135711669922,517.2513885498047
211,0,145.418212890625,518.3771362304688
212,0,150.91195678710938,518.1237182617188
213,0,144.85479736328125,517.1443481445312
214,0,144.90133666992188,518.039794921875
215,0,151.18505096435547,519.4090728759766
216,0,148.02787017822266,517.9844970703125
217,0,151.86019897460938,515.5061645507812
218,0,154.6183319091797,518.4108276367188
219,0,146.59068298339844,520.3695220947266
220,0,144.47134399414062,518.0697784423828
