               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02382,            0.014097,           0.0061231,             0.99712,             0.99856,               0.995,              0.8966,            0.024552,           0.0098589,           0.0060376,             0.00307,             0.00307,             0.00307
                  37,            0.023876,            0.013698,           0.0061277,             0.99721,                   1,               0.995,              0.9358,            0.022353,           0.0092402,           0.0059928,            0.002872,            0.002872,            0.002872
                  38,            0.023071,            0.013474,           0.0059186,             0.99647,              0.9845,             0.99451,             0.94513,            0.021393,            0.008996,           0.0060647,            0.002674,            0.002674,            0.002674
                  39,            0.022606,            0.013299,           0.0059125,             0.99764,                   1,               0.995,             0.92455,            0.022665,           0.0091116,           0.0059349,            0.002476,            0.002476,            0.002476
                  40,            0.022413,            0.013326,           0.0059586,             0.99812,                   1,               0.995,             0.92184,            0.021934,           0.0088639,           0.0059077,            0.002278,            0.002278,            0.002278
                  41,            0.021663,            0.013396,           0.0055989,             0.99744,                   1,               0.995,             0.94072,            0.021199,           0.0085384,           0.0058971,             0.00208,             0.00208,             0.00208
                  42,            0.021632,            0.013062,           0.0056951,             0.99846,                   1,               0.995,             0.93487,            0.021621,           0.0090022,           0.0058981,            0.001882,            0.001882,            0.001882
                  43,            0.021114,            0.012541,           0.0056632,             0.99876,                   1,               0.995,              0.9492,            0.020837,           0.0085584,           0.0058686,            0.001684,            0.001684,            0.001684
                  44,            0.020888,            0.012465,           0.0056111,             0.99854,                   1,               0.995,              0.9555,            0.020754,           0.0084543,           0.0058131,            0.001486,            0.001486,            0.001486
                  45,            0.020136,             0.01205,           0.0054391,             0.99905,                   1,               0.995,             0.95353,            0.020654,           0.0083386,           0.0057894,            0.001288,            0.001288,            0.001288
                  46,            0.020344,            0.012196,           0.0055948,             0.99882,                   1,               0.995,             0.95352,             0.02046,           0.0082224,           0.0057623,             0.00109,             0.00109,             0.00109
                  47,             0.01975,            0.011573,             0.00547,              0.9986,                   1,               0.995,             0.94889,            0.020336,           0.0081789,           0.0057459,            0.000892,            0.000892,            0.000892
                  48,            0.019136,             0.01158,           0.0052075,             0.99905,                   1,               0.995,             0.95334,            0.020261,           0.0082494,           0.0057511,            0.000694,            0.000694,            0.000694
                  49,            0.020293,            0.011498,           0.0057303,             0.99861,                   1,               0.995,             0.94438,            0.020182,           0.0081218,           0.0057317,            0.000496,            0.000496,            0.000496
